2024-06-07 00:09:54.223,408,-348,-1977,1589,1346,-1085
2024-06-07 00:09:54.227,577,-415,-1992,1657,1399,-1085
2024-06-07 00:09:54.232,577,-415,-1992,1748,1467,-1083
2024-06-07 00:09:54.307,344,127,-1551,130,206,-505
2024-06-07 00:09:54.314,379,102,-1720,4,215,-396
2024-06-07 00:09:54.324,379,102,-1720,4,215,-396
2024-06-07 00:09:54.335,531,-335,-1868,-378,-250,466
2024-06-07 00:09:54.344,561,-407,-1845,-402,-255,471
2024-06-07 00:09:54.356,561,-407,-1845,-402,-255,471
2024-06-07 00:09:54.369,540,-389,-1922,-38,157,-76
2024-06-07 00:09:54.377,540,-389,-1922,-43,155,-79
2024-06-07 00:09:54.389,543,-380,-1902,-50,154,-81
2024-06-07 00:09:54.409,562,-365,-1898,103,42,-31
2024-06-07 00:09:54.474,593,-407,-1884,119,28,-38
2024-06-07 00:09:54.486,593,-407,-1884,119,28,-38
2024-06-07 00:09:54.498,586,-429,-1770,-65,-354,-98
2024-06-07 00:09:54.509,586,-429,-1770,-60,-378,-107
2024-06-07 00:09:54.520,586,-429,-1770,-60,-378,-107
2024-06-07 00:09:54.537,576,-366,-1855,-154,-290,-90
2024-06-07 00:09:54.549,576,-366,-1855,-173,-281,-104
2024-06-07 00:09:54.561,576,-366,-1855,-192,-262,-108
2024-06-07 00:09:54.653,497,-341,-1863,-374,-342,78
2024-06-07 00:09:54.664,497,-341,-1863,-371,-357,71
2024-06-07 00:09:54.675,497,-341,-1863,-359,-395,70
2024-06-07 00:09:54.686,489,-301,-1905,-412,-802,48
2024-06-07 00:09:54.694,489,-301,-1905,-444,-773,35
2024-06-07 00:09:54.706,489,-301,-1905,-481,-749,23
2024-06-07 00:09:54.719,242,-122,-1973,-758,-1220,14
2024-06-07 00:09:54.730,242,-122,-1973,-759,-1212,23
2024-06-07 00:09:54.741,242,-122,-1973,-756,-1202,34
2024-06-07 00:09:54.763,186,-312,-2057,-304,-365,110
2024-06-07 00:09:54.827,186,-312,-2057,-262,-371,77
2024-06-07 00:09:54.839,186,-312,-2057,-262,-371,77
2024-06-07 00:09:54.850,294,-163,-1934,-230,-667,298
2024-06-07 00:09:54.862,294,-163,-1934,-228,-681,304
2024-06-07 00:09:54.874,294,-163,-1934,-228,-691,310
2024-06-07 00:09:54.885,-42,-83,-1938,-485,-1212,1027
2024-06-07 00:09:54.896,-42,-83,-1938,-484,-1210,1036
2024-06-07 00:09:54.910,-42,-83,-1938,-487,-1215,1041
2024-06-07 00:09:54.943,193,-308,-2064,-684,-762,198
2024-06-07 00:09:54.996,211,-308,-2073,-619,-752,168
2024-06-07 00:09:55.004,211,-308,-2073,-619,-752,168
2024-06-07 00:09:55.015,-178,253,-2084,-166,-919,192
2024-06-07 00:09:55.026,-91,-156,-2197,-1418,601,57
2024-06-07 00:09:55.037,-91,-156,-2197,-1408,580,28
2024-06-07 00:09:55.050,-91,-156,-2197,-1408,580,28
2024-06-07 00:09:55.060,-96,149,-2046,-257,122,-588
2024-06-07 00:09:55.072,-42,167,-1959,-237,117,-590
2024-06-07 00:09:55.086,-42,167,-1959,-177,105,-593
2024-06-07 00:09:55.095,441,-120,-664,7333,1876,-2591
